accident_severity,time,day_of_week,road_surface_type,light_conditions,weather_conditions,type_of_collision,area_accident_occured
2.0,13:53:00,Friday,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Darkness - no lighting,Cloudy,Vehicle with vehicle collision,Unknown
2.0,Unknown,Unknown,Asphalt roads,Darkness - no lighting,Cloudy,Vehicle with vehicle collision,Unknown
2.0,22:05:00,Monday,Asphalt roads,Darkness - no lighting,Cloudy,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Unknown
2.0,Unknown,Unknown,Asphalt roads,Darkness - no lighting,Cloudy,Vehicle with vehicle collision,Unknown
2.0,22:05:00,Monday,Asphalt roads,Darkness - no lighting,Cloudy,Vehicle with vehicle collision,  Recreational areas
2.0,20:41:00,Thursday,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision, Church areas
2.0,7:30:00,Wednesday,Asphalt roads,Darkness - no lighting,Cloudy,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Unknown
2.0,8:44:00,Tuesday,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Unknown
2.0,15:16:00,Monday,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Cloudy,Collision with pedestrians,Unknown
2.0,12:20:00,Wednesday,Asphalt roads,Daylight,Cloudy,Collision with pedestrians,Residential areas
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Unknown
2.0,16:46:00,Thursday,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Daylight,Cloudy,Collision with pedestrians,Unknown
2.0,15:31:00,Monday,Asphalt roads,Daylight,Cloudy,Collision with pedestrians,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Unknown
2.0,11:42:00,Monday,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Unknown
2.0,12:20:00,Wednesday,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Unknown
2.0,15:56:00,Friday,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Darkness - no lighting,Cloudy,Vehicle with vehicle collision,Unknown
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Cloudy,Collision with roadside objects,Unknown
2.0,22:05:00,Monday,Asphalt roads,Darkness - no lighting,Cloudy,Vehicle with vehicle collision,Residential areas
2.0,17:40:00,Thursday,Asphalt roads,Darkness - lights lit,Cloudy,Collision with roadside objects,Other
2.0,Unknown,Unknown,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Unknown
