age_band_of_driver,sex_of_driver,educational_level,driving_experience,vehicle_driver_relation
18-30,Male,Elementary school,Above 10yr,Employee
18-30,Male,Elementary school,Above 10yr,Employee
18-30,Male,Elementary school,5-10yr,Employee
18-30,Male,Elementary school,5-10yr,Employee
18-30,Male,Elementary school,5-10yr,Employee
18-30,Male,Elementary school,5-10yr,Employee
18-30,Male,Elementary school,2-5yr,Employee
18-30,Male,Elementary school,2-5yr,Employee
31-50,Male,Elementary school,2-5yr,Employee
31-50,Male,Elementary school,2-5yr,Employee
31-50,Male,Elementary school,5-10yr,Employee
31-50,Male,Elementary school,5-10yr,Employee
31-50,Male,Elementary school,2-5yr,Employee
31-50,Male,Elementary school,2-5yr,Employee
31-50,Male,Elementary school,2-5yr,Employee
31-50,Male,Elementary school,2-5yr,Employee
31-50,Male,Elementary school,2-5yr,Employee
31-50,Male,Elementary school,2-5yr,Employee
31-50,Male,Elementary school,1-2yr,Employee
31-50,Male,Elementary school,1-2yr,Employee
31-50,Male,Elementary school,5-10yr,Employee
31-50,Male,Elementary school,5-10yr,Employee
31-50,Male,Elementary school,2-5yr,Employee
31-50,Male,Elementary school,2-5yr,Employee
31-50,Male,Elementary school,Above 10yr,Employee
31-50,Male,Elementary school,Above 10yr,Employee
31-50,Male,Elementary school,5-10yr,Employee
31-50,Male,Elementary school,5-10yr,Employee
31-50,Male,Elementary school,Above 10yr,Employee
31-50,Male,Elementary school,Above 10yr,Employee
31-50,Male,Elementary school,2-5yr,Employee
31-50,Male,Elementary school,2-5yr,Employee
31-50,Male,Elementary school,1-2yr,Employee
31-50,Male,Elementary school,1-2yr,Employee
31-50,Male,Elementary school,5-10yr,Employee
31-50,Male,Elementary school,5-10yr,Employee
31-50,Male,Elementary school,No Licence,Employee
31-50,Male,Elementary school,No Licence,Employee
31-50,Male,Elementary school,5-10yr,Employee
31-50,Male,Elementary school,5-10yr,Employee
31-50,Male,Elementary school,Above 10yr,Employee
31-50,Male,Elementary school,Above 10yr,Employee
31-50,Male,Elementary school,2-5yr,Employee
31-50,Male,Elementary school,2-5yr,Employee
31-50,Male,Elementary school,5-10yr,Employee
31-50,Male,Elementary school,2-5yr,Employee
31-50,Male,Elementary school,2-5yr,Employee
